paper_id,claim,gold_code,gold_theme,claude_code,claude_correct,deepseek_code,deepseek_correct,openai_code,openai_correct
C908,CI -> BENEFITS SOFTWARE DEVELOPMENT OF LARGE-SCALE SYSTEMS,CI IS ASSOCIATED WITH SOFTWARE DEVELOPMENT BENEFITS,SOFTWARE PROCESS,CI IS ASSOCIATED WITH SOFTWARE DEVELOPMENT BENEFITS,Y,CI IS ASSOCIATED WITH SOFTWARE DEVELOPMENT BENEFITS,Y,__INVALID__,N
C909,CI IS THE RIGHT CONTEXT FOR MAKING CONTINUOUS REFACTORING POSSIBLE TO APPLY.( CONTINUOUS REFACTORING SHOULD BE INCLUDED AMONG THE PATTERNS TO FOLLOW IN ORDER TO FULLY BENEFIT FROM THE ADOPTION OF CI. ),CI IS ASSOCIATED WITH TO FAVOR CONTINUOUS REFACTORING,QUALITY ASSURANCE,__INVALID__,N,CI IS ASSOCIATED WITH TO FAVOR CONTINUOUS REFACTORING,Y,__INVALID__,N
C910,CI -> DEVELOPERS TEND TO ASSESS CODE QUALITY CONTINUOUSLY,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,QUALITY ASSURANCE,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,Y,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,Y,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,Y
C911,CONTINUOUS INTEGRATION ENABLES STEPWISE TRANSITION FROM WATERFALL TO AGILE,CI FACILITATES THE TRANSITION TO AGILE,SOFTWARE PROCESS,CI FACILITATES THE TRANSITION TO AGILE,Y,CI FACILITATES THE TRANSITION TO AGILE,Y,CI FACILITATES THE TRANSITION TO AGILE,Y
C912,THE INTEGRATION TOOL-CHAIN ENABLED SHORTER FEEDBACK CYCLES,CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,SOFTWARE PROCESS,CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,Y,CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,Y,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,N
C913,"WHEN EVERYTHING IS A MOVING TARGET, CONTINUOUS INTEGRATION CAN PROVIDE STABLE GROUND",CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,SOFTWARE PROCESS,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,Y,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,Y,__INVALID__,N
C914,"CI IS A DOMINANT FACTOR OF PULL-REQUEST ACCEPTANCE AND LATENCY. (THE PULL-REQUESTS WITH CI FAILURES HAVE ABOUT 89.6% GREATER ODDS OF BEING REJECTED EVENTUALLY.; FOR PULL-REQUEST LATENCY, THE CI RUNNING TIME IS HIGHLY SIGNIFICANT AND COVERS MORE THAN 21% OF THE VARIANCE EXPLAINED.)",CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y
C915,CI INCREASES THE PROPORTION OF SUCCESSFUL BUILDS,CI IS ASSOCIATED WITH BUILD HEALTH,BUILD PATTERNS,CI IS ASSOCIATED WITH BUILD HEALTH,Y,CI IS ASSOCIATED WITH BUILD HEALTH,Y,CI IS ASSOCIATED WITH BUILD HEALTH,Y
C916,CI IMPROVES THE CAPACITY TO RELEASE CLEAN CODE (CLEAN RELEASE BUILDS),CI IS ASSOCIATED WITH BUILD HEALTH,BUILD PATTERNS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,N,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,N,__INVALID__,N
C917,TDD AND CI REDUCES THE DEFECTS COMPARING WITH NO CI,CI IS ASSOCIATED WITH DEFECTS REDUCTION,ISSUES AND DEFECTS,CI IS ASSOCIATED WITH DEFECTS REDUCTION,Y,CI IS ASSOCIATED WITH DEFECTS REDUCTION,Y,CI IS ASSOCIATED WITH DEFECTS REDUCTION,Y
C918,TDD AND CI HELPED IN REDUCING THE TIME TO FIND AND FIX THE DEFECTS,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,ISSUES AND DEFECTS,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,Y,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,Y,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,Y
C919,CI -> IMPROVES COMMUNICATION INTRA-TEAM,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,SOFTWARE PROCESS,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,Y,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,Y,__INVALID__,N
C920,CI -> IMPROVES COMMUNICATION INTER-TEAM,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,SOFTWARE PROCESS,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,Y,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,Y,__INVALID__,N
C921,CI -> IMPROVES PROJECT PREDICTABILITY,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,SOFTWARE PROCESS,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,Y,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,Y,__INVALID__,N
C922,CI CONTRIBUTES   TO   INCREASED   DEVELOPER   PRODUCTIVITY (AS   AN  EFFECT  OF FACILITATING PARALLEL  DEVELOPMENT IN THE SAME  SOURCE   CONTEXT),CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,DEVELOPMENT ACTIVITIES,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y
C923,CI IS CORRELATED TO THE PRESENCE OF TEST PRACTICE,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,QUALITY ASSURANCE,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,Y
C924,CI HELPS TO CATCH PROBLEMS AS EARLY AS POSSIBLE,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,QUALITY ASSURANCE,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,N,CI IS ASSOCIATED WITH DEFECTS REDUCTION,N,__INVALID__,N
C925,CI IMPROVES QUALITY,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,QUALITY ASSURANCE,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,Y,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,Y,__INVALID__,N
C926,CI IMPROVES THE FAST DEVELOPMENT CYCLE,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,SOFTWARE PROCESS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y,__INVALID__,N
C927,CI ENABLES CROSS-PLATFORM TESTING,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,QUALITY ASSURANCE,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,Y,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,Y,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,Y
C928,CONTINUOUS INTEGRATION GIVES MORE CONFIDENCE TO PERFORM REQUIRED CODE CHANGES,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,Y,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,Y,CI IS ASSOCIATED WITH CONFIDENCE IMPROVEMENT,Y
C930,CI GENERATED TECHNICAL PROBLEMS IS PARTICULARLY CHALLENGING FOR ONBOARDING NEWCOMERS (SINCE THEY “DO NOT UNDERSTAND WHAT CI DOES AND WHAT IT DOESN’T”.),CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,SOFTWARE PROCESS,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,Y,CI IS ASSOCIATED WITH HUMAN CHALLENGES,N,CI IS ASSOCIATED WITH HUMAN CHALLENGES,N
C931,ANOTHER RECURRING PROBLEM OF CI IS THE FALSE SENSE OF CONFIDENCE,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,Y,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,Y,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,Y
C932,CONTINUOUS INTEGRATION TECHNIQUES REQUIRE DEVELOPERS A CERTAIN LEVEL OF DISCIPLINE,CI IS ASSOCIATED WITH HUMAN CHALLENGES,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH HUMAN CHALLENGES,Y,CI IS ASSOCIATED WITH HUMAN CHALLENGES,Y,CI IS ASSOCIATED WITH HUMAN CHALLENGES,Y
C933,ADDITIONAL EFFORT WAS ALSO EVIDENCED WHEN APPLY CI,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,Y,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,Y,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,Y
C934,CI IMPROVES AUTOMATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,SOFTWARE PROCESS,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,Y,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,Y,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,Y
C936,CI IMPROVES PRODUCTIVITY,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,DEVELOPMENT ACTIVITIES,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y
C937,CI REDUCES THE TURNAROUND TIME FOR RESOLVING BROKEN BUILDS,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,ISSUES AND DEFECTS,CI IS ASSOCIATED WITH A DECREASING IN BUILD TIME,N,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,Y,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,Y
C938,CI PROMOTES A REGULAR RELEASE CYCLE;THIS ALLOWS US TO GIVE INCREMENTAL VALUE TO THE BUSINESS FREQUENTLY AND PREDICTABLY.,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,SOFTWARE PROCESS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,Y
C939,CI IMPROVES CODE QUALITY,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,QUALITY ASSURANCE,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,Y,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,Y,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,Y
C940,CI CAN HELP DETECT MERGING ISSUES EARLY AND EASILY,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS ASSOCIATED WITH A POSITIVE IMPACT ON INTEGRATION PRACTICE,N,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,N
C941,CI INCREASES DEVELOPER PRODUCTIVITY (MENTION CONTINUOUS INTEGRATION AND CONTINUOUS DEPLOYMENT AS MAJOR BUILDING BLOCKS OF AN EFFICIENT AUTOMATED LOOP COMPRISING DIFFERENT FULFILLMENT LEVELS),CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,DEVELOPMENT ACTIVITIES,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,Y
C943,CORE DEVELOPERS IN TEAMS USING CI ARE ABLE TO DISCOVER SIGNIFICANTLY MORE BUGS THAN IN TEAMS NOT USING CI.,CI IS ASSOCIATED WITH DEFECTS REDUCTION,ISSUES AND DEFECTS,CI IS ASSOCIATED WITH DEFECTS REDUCTION,Y,CI IS ASSOCIATED WITH DEFECTS REDUCTION,Y,CI IS ASSOCIATED WITH DEFECTS REDUCTION,Y
C944,ONLY 51.3% OF THE PROJECTS DELIVER MERGED PRS MORE QUICKLY AFTER THE ADOPTION OF CI,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,N,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,N
C945,"IN 73% (46/63) OF THE PROJECTS, PRS ARE MERGED FASTER BEFORE ADOPTING CI",CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y
C946,"SURPRISINGLY, IN 54% OF THE PROJECTS, PRS HAVE A LONGER LIFETIME AFTER ADOPTING CI",CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO NEGATIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y
C947,71.3% (62/87) OF THE PROJECTS INCREASE PR SUBMISSIONS AFTER ADOPTING CI.,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,N,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,Y
C948,AFTER ADOPTING CI PROJECTS DELIVER 3.43 TIMES MORE PRS PER RELEASE THAN BEFORE CI,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,INTEGRATION PATTERNS,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,N,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,N,CI IS RELATED TO PRODUCTIVITY AND EFFICIENCY INCREASING,N
C949,WE FIND THAT 75.9% (66/87) OF THE STUDIED PROJECTS TEND TO INCREASE THE NUMBER OF PR CONTRIBUTORS PER RELEASE AFTER ADOPTING CI.,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,SOFTWARE PROCESS,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,Y,CI IS RELATED TO POSITIVE IMPACTS ON PULL REQUESTS LIFE-CYCLE,N,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,Y
C950,CI IS RELATED TO SMALL MERGE COMMITS,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,INTEGRATION PATTERNS,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,Y,CI IS ASSOCIATED WITH A COMMIT PATTERN CHANGE,Y,__INVALID__,N
