Deductive Coding Annotation Sheet — Annotator 1,,,,
"Instructions: For each claim, assign ONE code from the taxonomy sheet. Write the exact code name in column D. Leave column E for comments if uncertain.",,,,
#,Claim ID,Claim Text,Your Code,Notes (optional)
58,C918,TDD AND CI HELPED IN REDUCING THE TIME TO FIND AND FIX THE DEFECTS,CI IS ASSOCIATED WITH A DECREASE IN TIME TO LEAD DEFECTS,
59,C1005,CD DECREASES THE DEFECT REPORT,CI IS ASSOCIATED WITH DEFECTS REDUCTION,
60,C901,CI INCREASES NORMALIZED BUGS RESOLVED [OSS PROJECTS],CI IS ASSOCIATED WITH DEFECTS REDUCTION,
61,C943,CORE DEVELOPERS IN TEAMS USING CI ARE ABLE TO DISCOVER SIGNIFICANTLY MORE BUGS THAN IN TEAMS NOT USING CI.,CI IS ASSOCIATED WITH DEFECTS REDUCTION,
62,C917,TDD AND CI REDUCES THE DEFECTS COMPARING WITH NO CI,CI IS ASSOCIATED WITH DEFECTS REDUCTION,
63,C953,"CI IS RELATED TO AN INCREASING TREND IN THE NUMBER OF ISSUES CLOSED PER TIME PERIOD,",CI IS ASSOCIATED WITH ISSUES REDUCTION,
▸  Theme: Quality Assurance,,,,
64,C981,CI HELP TO TEST IN A REAL-WORLD ENVIRONMENT,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,
65,C996,ENABLE  CROSS-PLATFORM TESTING,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,
66,C927,CI ENABLES CROSS-PLATFORM TESTING,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,
67,C968,TEST ACROSS ALL PLATFORMS,CI IS ASSOCIATED TO MULTI-ENVIRONMENT TESTS,
68,C909,CI IS THE RIGHT CONTEXT FOR MAKING CONTINUOUS REFACTORING POSSIBLE TO APPLY.( CONTINUOUS REFACTORING SHOULD BE INCLUDED AMONG THE PATTERNS TO FOLLOW IN ORDER TO FULLY BENEFIT FROM THE ADOPTION OF CI. ),CI IS ASSOCIATED WITH TO FAVOR CONTINUOUS REFACTORING,
69,C924,CI HELPS TO CATCH PROBLEMS AS EARLY AS POSSIBLE,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,
70,C993,IMPROVE SOFTWARE QUALITY,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,
71,C1013,CI INCREASED SOFTWARE QUALITY,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,
72,C925,CI IMPROVES QUALITY,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,
73,C971,PROJECTS THAT USE CI HAVE HIGHER CODE QUALITY,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,
74,C939,CI IMPROVES CODE QUALITY,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,
75,C910,CI -> DEVELOPERS TEND TO ASSESS CODE QUALITY CONTINUOUSLY,CI IS RELATED TO AN INCREASE QUALITY ASSESSMENT,
76,C978,"CI ALLOWS RUNNING THE TESTS IN THE CLOUD, FREEING UP PERSONAL MACHINES",CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,
77,C995,ENFORCE AUTOMATED SOFTWARE TESTING,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,
78,C969,PROJECTS WITH CI GIVE MORE VALUE TO AUTOMATED TESTS,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,
79,C970,PROJECTS WITH CI HAVE HIGHER QUALITY TESTS,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,
80,C959,CI FORCES MORE TEST EFFORT,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,
81,C988,INCREASES THE NUMBER OF AUTOMATED TESTS,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,
82,C895,CI USAGE IS ASSOCIATED WITH HIGH CLASS TEST COVERAGE,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,
83,C923,CI IS CORRELATED TO THE PRESENCE OF TEST PRACTICE,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,
84,C954,THE AMOUNT (AND POTENTIALLY THE QUALITY) OF AUTOMATED TESTS SEEMS TO INCREASE,CI IS RELATED TO POSITIVE IMPACTS ON TEST PRACTICE,
▸  Theme: Software Process,,,,
85,C911,CONTINUOUS INTEGRATION ENABLES STEPWISE TRANSITION FROM WATERFALL TO AGILE,CI FACILITATES THE TRANSITION TO AGILE,
86,C912,THE INTEGRATION TOOL-CHAIN ENABLED SHORTER FEEDBACK CYCLES,CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,
87,C967,CI ENFORCES A SPECIFIC WORKFLOW,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,
88,C999,CI REDUCES MANUAL WORK,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,
89,C934,CI IMPROVES AUTOMATION,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,
90,C1012,CI PROVIDED DETAILED INSIGHT FROM MANAGEMENT PERSPECTIVE,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,
91,C1010,CI BUILT A SOLID FOUNDATION FOR QUANTITATIVE EVALUATION OF SOFTWARE PROGRESS,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,
92,C913,"WHEN EVERYTHING IS A MOVING TARGET, CONTINUOUS INTEGRATION CAN PROVIDE STABLE GROUND",CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,
93,C921,CI -> IMPROVES PROJECT PREDICTABILITY,CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS RELIABILITY,
94,C1015,"CI BASED PROCESS AUTOMATION LETS THE TEST AND QA ENGINEERS TO BE INVOLVED IN THE DEVELOPMENT, CONTINUOUSLY",CI IS ASSOCIATED WITH AN IMPROVEMENT IN PROCESS AUTOMATION,
95,C958,THE COMMUNICATION REQUIRED BY PROACTIVE INCONSISTENCY MITIGATION IS AVOIDED,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,
96,C949,WE FIND THAT 75.9% (66/87) OF THE STUDIED PROJECTS TEND TO INCREASE THE NUMBER OF PR CONTRIBUTORS PER RELEASE AFTER ADOPTING CI.,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,
97,C919,CI -> IMPROVES COMMUNICATION INTRA-TEAM,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,
98,C998,IMPROVE COMMUNICATION,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,
99,C920,CI -> IMPROVES COMMUNICATION INTER-TEAM,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,
100,C899,CI INCREASES NORMALIZED COLLABORATION AMOUNT BETWEEN PROGRAMMERS [OSS AND PROPRIETARY PROJECTS],CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,
101,C1007,CI BROUGHT INCREASED VISIBILITY ENABLING GREATER COMMUNICATION AMONG THE RELEVANT STAKEHOLDERS.,CI IS ASSOCIATED WITH AN INCREASE IN COOPERATION,
102,C908,CI -> BENEFITS SOFTWARE DEVELOPMENT OF LARGE-SCALE SYSTEMS,CI IS ASSOCIATED WITH SOFTWARE DEVELOPMENT BENEFITS,
103,C930,CI GENERATED TECHNICAL PROBLEMS IS PARTICULARLY CHALLENGING FOR ONBOARDING NEWCOMERS (SINCE THEY “DO NOT UNDERSTAND WHAT CI DOES AND WHAT IT DOESN’T”.),CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,
104,C896,LACK OF SUPPORT FOR NEEDED TECHNOLOGY IS ASSOCIATED WITH AN INCREASE RISK OF ABANDONING,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,
105,C891,CI BRING CHALLENGES WHEN IMPLEMENTING IN PRACTICE,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,
106,C905,DUVALL’S SEVEN CORNER STONES OF CONTINUOUS INTEGRATION IS DIFFICULT TO BE APPLIED FOR EMBEDDED SYSTEMS,CI IS ASSOCIATED WITH TECHNICAL CHALLENGES,
107,C965,CI ALLOWS FASTER ITERATIONS,CI IS ASSOCIATED WITH A FEED BACK FREQUENCY INCREASE,
108,C926,CI IMPROVES THE FAST DEVELOPMENT CYCLE,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,
109,C984,MORE QUICK PATCH AND RELEASING DELIVERIES,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,
110,C979,CI HELPS DEPLOY MORE OFTEN,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,
111,C976,PROJECTS THAT USE CI RELEASE MORE THAN TWICE AS OFTEN AS THOSE THAT DO NOT USE CI.,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,
112,C938,CI PROMOTES A REGULAR RELEASE CYCLE;THIS ALLOWS US TO GIVE INCREMENTAL VALUE TO THE BUSINESS FREQUENTLY AND PREDICTABLY.,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,
113,C964,CI HELPS PROJECTS DEPLOY MORE OFTEN,CI IS RELATED TO POSITIVE IMPACTS ON RELEASE CYCLE,
