paper_id,level,run_id,gt_code,gt_theme,n_models,n_correct,consensus
C1001,L3,5,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L3,6,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L3,7,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L3,8,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L3,9,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L3,10,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L4,1,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L4,2,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L4,3,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L4,4,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L4,5,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L4,6,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L4,7,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L4,8,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L4,9,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L4,10,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L5,1,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L5,2,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L5,3,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L5,4,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L5,5,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L5,6,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L5,7,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L5,8,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L5,9,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1001,L5,10,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L1,1,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L1,2,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L1,3,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L1,4,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L1,5,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L1,6,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L1,7,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L1,8,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L1,9,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L1,10,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L2,1,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L2,2,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L2,3,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L2,4,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L2,5,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L2,6,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L2,7,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L2,8,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L2,9,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L2,10,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L3,1,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L3,2,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L3,3,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L3,4,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L3,5,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L3,6,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L3,7,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L3,8,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L3,9,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L3,10,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L4,1,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L4,2,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L4,3,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L4,4,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L4,5,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L4,6,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L4,7,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L4,8,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L4,9,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L4,10,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L5,1,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L5,2,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L5,3,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L5,4,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L5,5,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L5,6,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L5,7,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L5,8,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L5,9,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1002,L5,10,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,3,all_correct
C1003,L1,1,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L1,2,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L1,3,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L1,4,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L1,5,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L1,6,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L1,7,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L1,8,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L1,9,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L1,10,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L2,1,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L2,2,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L2,3,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L2,4,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L2,5,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L2,6,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L2,7,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L2,8,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L2,9,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L2,10,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L3,1,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L3,2,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L3,3,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L3,4,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L3,5,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L3,6,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L3,7,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L3,8,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L3,9,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L3,10,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L4,1,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L4,2,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L4,3,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L4,4,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L4,5,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L4,6,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L4,7,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L4,8,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L4,9,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L4,10,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L5,1,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L5,2,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L5,3,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L5,4,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L5,5,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L5,6,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L5,7,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L5,8,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1003,L5,9,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1003,L5,10,CI IS ASSOCIATED WITH ADDING EXTRA COMPLEXITY,DEVELOPMENT ACTIVITIES,3,1,majority_wrong
C1004,L1,1,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1004,L1,2,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,0,all_wrong
C1004,L1,3,CI MAY GENERATE A FALSE SENSE OF CONFIDENCE,DEVELOPMENT ACTIVITIES,3,0,all_wrong
