kappa_type,task,level,run_id,model_a,model_b,kappa,n,interpretation,kappa_sd,n_pairs
model_vs_gold,theme,L4,2,claude,gold,0.8443,113.0,Almost Perfect,,
model_vs_gold,code,L4,3,claude,gold,0.7961,113.0,Substantial,,
model_vs_gold,theme,L4,3,claude,gold,0.8442,113.0,Almost Perfect,,
model_vs_gold,code,L4,4,claude,gold,0.7959,113.0,Substantial,,
model_vs_gold,theme,L4,4,claude,gold,0.8443,113.0,Almost Perfect,,
model_vs_gold,code,L4,5,claude,gold,0.7774,113.0,Substantial,,
model_vs_gold,theme,L4,5,claude,gold,0.8215,113.0,Almost Perfect,,
model_vs_gold,code,L4,6,claude,gold,0.7959,113.0,Substantial,,
model_vs_gold,theme,L4,6,claude,gold,0.844,113.0,Almost Perfect,,
model_vs_gold,code,L4,7,claude,gold,0.7959,113.0,Substantial,,
model_vs_gold,theme,L4,7,claude,gold,0.844,113.0,Almost Perfect,,
model_vs_gold,code,L4,8,claude,gold,0.7847,112.0,Substantial,,
model_vs_gold,theme,L4,8,claude,gold,0.844,113.0,Almost Perfect,,
model_vs_gold,code,L4,9,claude,gold,0.7774,113.0,Substantial,,
model_vs_gold,theme,L4,9,claude,gold,0.844,113.0,Almost Perfect,,
model_vs_gold,code,L4,10,claude,gold,0.7866,113.0,Substantial,,
model_vs_gold,theme,L4,10,claude,gold,0.844,113.0,Almost Perfect,,
model_vs_gold,code,L5,1,claude,gold,0.7939,112.0,Substantial,,
model_vs_gold,theme,L5,1,claude,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L5,2,claude,gold,0.7846,112.0,Substantial,,
model_vs_gold,theme,L5,2,claude,gold,0.8442,113.0,Almost Perfect,,
model_vs_gold,code,L5,3,claude,gold,0.7939,112.0,Substantial,,
model_vs_gold,theme,L5,3,claude,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L5,4,claude,gold,0.7846,112.0,Substantial,,
model_vs_gold,theme,L5,4,claude,gold,0.8442,113.0,Almost Perfect,,
model_vs_gold,code,L5,5,claude,gold,0.7846,112.0,Substantial,,
model_vs_gold,theme,L5,5,claude,gold,0.8442,113.0,Almost Perfect,,
model_vs_gold,code,L5,6,claude,gold,0.7939,112.0,Substantial,,
model_vs_gold,theme,L5,6,claude,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L5,7,claude,gold,0.7846,112.0,Substantial,,
model_vs_gold,theme,L5,7,claude,gold,0.8442,113.0,Almost Perfect,,
model_vs_gold,code,L5,8,claude,gold,0.7846,112.0,Substantial,,
model_vs_gold,theme,L5,8,claude,gold,0.8442,113.0,Almost Perfect,,
model_vs_gold,code,L5,9,claude,gold,0.7939,112.0,Substantial,,
model_vs_gold,theme,L5,9,claude,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L5,10,claude,gold,0.7939,112.0,Substantial,,
model_vs_gold,theme,L5,10,claude,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L1,1,deepseek,gold,0.7679,113.0,Substantial,,
model_vs_gold,theme,L1,1,deepseek,gold,0.867,113.0,Almost Perfect,,
model_vs_gold,code,L1,2,deepseek,gold,0.7679,113.0,Substantial,,
model_vs_gold,theme,L1,2,deepseek,gold,0.867,113.0,Almost Perfect,,
model_vs_gold,code,L1,3,deepseek,gold,0.7679,113.0,Substantial,,
model_vs_gold,theme,L1,3,deepseek,gold,0.867,113.0,Almost Perfect,,
model_vs_gold,code,L1,4,deepseek,gold,0.7679,113.0,Substantial,,
model_vs_gold,theme,L1,4,deepseek,gold,0.867,113.0,Almost Perfect,,
model_vs_gold,code,L1,5,deepseek,gold,0.7679,113.0,Substantial,,
model_vs_gold,theme,L1,5,deepseek,gold,0.867,113.0,Almost Perfect,,
model_vs_gold,code,L1,6,deepseek,gold,0.7679,113.0,Substantial,,
model_vs_gold,theme,L1,6,deepseek,gold,0.867,113.0,Almost Perfect,,
model_vs_gold,code,L1,7,deepseek,gold,0.7679,113.0,Substantial,,
model_vs_gold,theme,L1,7,deepseek,gold,0.867,113.0,Almost Perfect,,
model_vs_gold,code,L1,8,deepseek,gold,0.7679,113.0,Substantial,,
model_vs_gold,theme,L1,8,deepseek,gold,0.867,113.0,Almost Perfect,,
model_vs_gold,code,L1,9,deepseek,gold,0.7679,113.0,Substantial,,
model_vs_gold,theme,L1,9,deepseek,gold,0.867,113.0,Almost Perfect,,
model_vs_gold,code,L1,10,deepseek,gold,0.7679,113.0,Substantial,,
model_vs_gold,theme,L1,10,deepseek,gold,0.867,113.0,Almost Perfect,,
model_vs_gold,code,L2,1,deepseek,gold,0.7589,113.0,Substantial,,
model_vs_gold,theme,L2,1,deepseek,gold,0.8439,113.0,Almost Perfect,,
model_vs_gold,code,L2,2,deepseek,gold,0.7589,113.0,Substantial,,
model_vs_gold,theme,L2,2,deepseek,gold,0.8439,113.0,Almost Perfect,,
model_vs_gold,code,L2,3,deepseek,gold,0.7589,113.0,Substantial,,
model_vs_gold,theme,L2,3,deepseek,gold,0.8439,113.0,Almost Perfect,,
model_vs_gold,code,L2,4,deepseek,gold,0.7589,113.0,Substantial,,
model_vs_gold,theme,L2,4,deepseek,gold,0.8439,113.0,Almost Perfect,,
model_vs_gold,code,L2,5,deepseek,gold,0.7589,113.0,Substantial,,
model_vs_gold,theme,L2,5,deepseek,gold,0.8439,113.0,Almost Perfect,,
model_vs_gold,code,L2,6,deepseek,gold,0.7589,113.0,Substantial,,
model_vs_gold,theme,L2,6,deepseek,gold,0.8439,113.0,Almost Perfect,,
model_vs_gold,code,L2,7,deepseek,gold,0.7589,113.0,Substantial,,
model_vs_gold,theme,L2,7,deepseek,gold,0.8439,113.0,Almost Perfect,,
model_vs_gold,code,L2,8,deepseek,gold,0.7589,113.0,Substantial,,
model_vs_gold,theme,L2,8,deepseek,gold,0.8439,113.0,Almost Perfect,,
model_vs_gold,code,L2,9,deepseek,gold,0.7589,113.0,Substantial,,
model_vs_gold,theme,L2,9,deepseek,gold,0.8439,113.0,Almost Perfect,,
model_vs_gold,code,L2,10,deepseek,gold,0.7589,113.0,Substantial,,
model_vs_gold,theme,L2,10,deepseek,gold,0.8439,113.0,Almost Perfect,,
model_vs_gold,code,L3,1,deepseek,gold,0.768,113.0,Substantial,,
model_vs_gold,theme,L3,1,deepseek,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L3,2,deepseek,gold,0.7587,113.0,Substantial,,
model_vs_gold,theme,L3,2,deepseek,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L3,3,deepseek,gold,0.7587,113.0,Substantial,,
model_vs_gold,theme,L3,3,deepseek,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L3,4,deepseek,gold,0.7587,113.0,Substantial,,
model_vs_gold,theme,L3,4,deepseek,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L3,5,deepseek,gold,0.7587,113.0,Substantial,,
model_vs_gold,theme,L3,5,deepseek,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L3,6,deepseek,gold,0.7587,113.0,Substantial,,
model_vs_gold,theme,L3,6,deepseek,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L3,7,deepseek,gold,0.7679,113.0,Substantial,,
model_vs_gold,theme,L3,7,deepseek,gold,0.8665,113.0,Almost Perfect,,
model_vs_gold,code,L3,8,deepseek,gold,0.7587,113.0,Substantial,,
model_vs_gold,theme,L3,8,deepseek,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L3,9,deepseek,gold,0.7587,113.0,Substantial,,
model_vs_gold,theme,L3,9,deepseek,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L3,10,deepseek,gold,0.7587,113.0,Substantial,,
model_vs_gold,theme,L3,10,deepseek,gold,0.8554,113.0,Almost Perfect,,
model_vs_gold,code,L4,1,deepseek,gold,0.731,113.0,Substantial,,
model_vs_gold,theme,L4,1,deepseek,gold,0.8333,113.0,Almost Perfect,,
model_vs_gold,code,L4,2,deepseek,gold,0.731,113.0,Substantial,,
model_vs_gold,theme,L4,2,deepseek,gold,0.8333,113.0,Almost Perfect,,
model_vs_gold,code,L4,3,deepseek,gold,0.731,113.0,Substantial,,
model_vs_gold,theme,L4,3,deepseek,gold,0.8333,113.0,Almost Perfect,,
model_vs_gold,code,L4,4,deepseek,gold,0.731,113.0,Substantial,,
model_vs_gold,theme,L4,4,deepseek,gold,0.8333,113.0,Almost Perfect,,
model_vs_gold,code,L4,5,deepseek,gold,0.731,113.0,Substantial,,
model_vs_gold,theme,L4,5,deepseek,gold,0.8333,113.0,Almost Perfect,,
model_vs_gold,code,L4,6,deepseek,gold,0.731,113.0,Substantial,,
model_vs_gold,theme,L4,6,deepseek,gold,0.8333,113.0,Almost Perfect,,
model_vs_gold,code,L4,7,deepseek,gold,0.731,113.0,Substantial,,
model_vs_gold,theme,L4,7,deepseek,gold,0.8333,113.0,Almost Perfect,,
model_vs_gold,code,L4,8,deepseek,gold,0.731,113.0,Substantial,,
model_vs_gold,theme,L4,8,deepseek,gold,0.8333,113.0,Almost Perfect,,
model_vs_gold,code,L4,9,deepseek,gold,0.731,113.0,Substantial,,
model_vs_gold,theme,L4,9,deepseek,gold,0.8333,113.0,Almost Perfect,,
model_vs_gold,code,L4,10,deepseek,gold,0.731,113.0,Substantial,,
model_vs_gold,theme,L4,10,deepseek,gold,0.8333,113.0,Almost Perfect,,
model_vs_gold,code,L5,1,deepseek,gold,0.7404,113.0,Substantial,,
model_vs_gold,theme,L5,1,deepseek,gold,0.8446,113.0,Almost Perfect,,
model_vs_gold,code,L5,2,deepseek,gold,0.7497,113.0,Substantial,,
model_vs_gold,theme,L5,2,deepseek,gold,0.8446,113.0,Almost Perfect,,
model_vs_gold,code,L5,3,deepseek,gold,0.7497,113.0,Substantial,,
model_vs_gold,theme,L5,3,deepseek,gold,0.8446,113.0,Almost Perfect,,
model_vs_gold,code,L5,4,deepseek,gold,0.7497,113.0,Substantial,,
model_vs_gold,theme,L5,4,deepseek,gold,0.8446,113.0,Almost Perfect,,
model_vs_gold,code,L5,5,deepseek,gold,0.7497,113.0,Substantial,,
model_vs_gold,theme,L5,5,deepseek,gold,0.8446,113.0,Almost Perfect,,
model_vs_gold,code,L5,6,deepseek,gold,0.7497,113.0,Substantial,,
model_vs_gold,theme,L5,6,deepseek,gold,0.8446,113.0,Almost Perfect,,
model_vs_gold,code,L5,7,deepseek,gold,0.7497,113.0,Substantial,,
model_vs_gold,theme,L5,7,deepseek,gold,0.8446,113.0,Almost Perfect,,
model_vs_gold,code,L5,8,deepseek,gold,0.7497,113.0,Substantial,,
model_vs_gold,theme,L5,8,deepseek,gold,0.8446,113.0,Almost Perfect,,
model_vs_gold,code,L5,9,deepseek,gold,0.7497,113.0,Substantial,,
model_vs_gold,theme,L5,9,deepseek,gold,0.8446,113.0,Almost Perfect,,
model_vs_gold,code,L5,10,deepseek,gold,0.7497,113.0,Substantial,,
model_vs_gold,theme,L5,10,deepseek,gold,0.8446,113.0,Almost Perfect,,
model_vs_gold,code,L1,1,openai,gold,0.696,90.0,Substantial,,
model_vs_gold,theme,L1,1,openai,gold,0.7082,113.0,Substantial,,
model_vs_gold,code,L1,2,openai,gold,0.7309,90.0,Substantial,,
model_vs_gold,theme,L1,2,openai,gold,0.7307,113.0,Substantial,,
model_vs_gold,code,L1,3,openai,gold,0.7316,90.0,Substantial,,
model_vs_gold,theme,L1,3,openai,gold,0.7193,113.0,Substantial,,
model_vs_gold,code,L1,4,openai,gold,0.7428,94.0,Substantial,,
model_vs_gold,theme,L1,4,openai,gold,0.7539,113.0,Substantial,,
model_vs_gold,code,L1,5,openai,gold,0.7218,87.0,Substantial,,
model_vs_gold,theme,L1,5,openai,gold,0.6966,113.0,Substantial,,
model_vs_gold,code,L1,6,openai,gold,0.7247,88.0,Substantial,,
model_vs_gold,theme,L1,6,openai,gold,0.7078,113.0,Substantial,,
model_vs_gold,code,L1,7,openai,gold,0.7164,89.0,Substantial,,
model_vs_gold,theme,L1,7,openai,gold,0.7196,113.0,Substantial,,
model_vs_gold,code,L1,8,openai,gold,0.7196,90.0,Substantial,,
model_vs_gold,theme,L1,8,openai,gold,0.7313,113.0,Substantial,,
model_vs_gold,code,L1,9,openai,gold,0.7151,85.0,Substantial,,
model_vs_gold,theme,L1,9,openai,gold,0.7079,113.0,Substantial,,
model_vs_gold,code,L1,10,openai,gold,0.7171,93.0,Substantial,,
model_vs_gold,theme,L1,10,openai,gold,0.7538,113.0,Substantial,,
model_vs_gold,code,L2,1,openai,gold,0.7426,86.0,Substantial,,
model_vs_gold,theme,L2,1,openai,gold,0.7184,113.0,Substantial,,
model_vs_gold,code,L2,2,openai,gold,0.7336,91.0,Substantial,,
model_vs_gold,theme,L2,2,openai,gold,0.7301,113.0,Substantial,,
model_vs_gold,code,L2,3,openai,gold,0.7311,90.0,Substantial,,
model_vs_gold,theme,L2,3,openai,gold,0.7075,113.0,Substantial,,
model_vs_gold,code,L2,4,openai,gold,0.7278,89.0,Substantial,,
model_vs_gold,theme,L2,4,openai,gold,0.7416,113.0,Substantial,,
model_vs_gold,code,L2,5,openai,gold,0.7458,87.0,Substantial,,
model_vs_gold,theme,L2,5,openai,gold,0.7266,112.0,Substantial,,
model_vs_gold,code,L2,6,openai,gold,0.755,90.0,Substantial,,
model_vs_gold,theme,L2,6,openai,gold,0.7187,113.0,Substantial,,
model_vs_gold,code,L2,7,openai,gold,0.7896,90.0,Substantial,,
model_vs_gold,theme,L2,7,openai,gold,0.7642,113.0,Substantial,,
model_vs_gold,code,L2,8,openai,gold,0.7516,89.0,Substantial,,
model_vs_gold,theme,L2,8,openai,gold,0.7416,113.0,Substantial,,
model_vs_gold,code,L2,9,openai,gold,0.7657,90.0,Substantial,,
model_vs_gold,theme,L2,9,openai,gold,0.7301,113.0,Substantial,,
model_vs_gold,code,L2,10,openai,gold,0.749,88.0,Substantial,,
model_vs_gold,theme,L2,10,openai,gold,0.7414,113.0,Substantial,,
model_vs_gold,code,L3,1,openai,gold,0.7434,78.0,Substantial,,
model_vs_gold,theme,L3,1,openai,gold,0.6603,113.0,Substantial,,
model_vs_gold,code,L3,2,openai,gold,0.7371,84.0,Substantial,,
model_vs_gold,theme,L3,2,openai,gold,0.7074,113.0,Substantial,,
model_vs_gold,code,L3,3,openai,gold,0.7338,83.0,Substantial,,
model_vs_gold,theme,L3,3,openai,gold,0.6681,112.0,Substantial,,
model_vs_gold,code,L3,4,openai,gold,0.7095,87.0,Substantial,,
model_vs_gold,theme,L3,4,openai,gold,0.684,113.0,Substantial,,
model_vs_gold,code,L3,5,openai,gold,0.7528,85.0,Substantial,,
model_vs_gold,theme,L3,5,openai,gold,0.7144,112.0,Substantial,,
model_vs_gold,code,L3,6,openai,gold,0.7433,86.0,Substantial,,
model_vs_gold,theme,L3,6,openai,gold,0.7184,113.0,Substantial,,
model_vs_gold,code,L3,7,openai,gold,0.7211,83.0,Substantial,,
model_vs_gold,theme,L3,7,openai,gold,0.7074,113.0,Substantial,,
model_vs_gold,code,L3,8,openai,gold,0.7649,85.0,Substantial,,
model_vs_gold,theme,L3,8,openai,gold,0.6948,113.0,Substantial,,
model_vs_gold,code,L3,9,openai,gold,0.7156,85.0,Substantial,,
model_vs_gold,theme,L3,9,openai,gold,0.6684,112.0,Substantial,,
model_vs_gold,code,L3,10,openai,gold,0.7072,86.0,Substantial,,
model_vs_gold,theme,L3,10,openai,gold,0.703,112.0,Substantial,,
model_vs_gold,code,L4,1,openai,gold,0.686,87.0,Substantial,,
model_vs_gold,theme,L4,1,openai,gold,0.6621,113.0,Substantial,,
model_vs_gold,code,L4,2,openai,gold,0.6965,90.0,Substantial,,
model_vs_gold,theme,L4,2,openai,gold,0.681,112.0,Substantial,,
model_vs_gold,code,L4,3,openai,gold,0.6897,88.0,Substantial,,
model_vs_gold,theme,L4,3,openai,gold,0.662,113.0,Substantial,,
model_vs_gold,code,L4,4,openai,gold,0.6976,87.0,Substantial,,
model_vs_gold,theme,L4,4,openai,gold,0.6958,113.0,Substantial,,
model_vs_gold,code,L4,5,openai,gold,0.7015,88.0,Substantial,,
model_vs_gold,theme,L4,5,openai,gold,0.6849,113.0,Substantial,,
model_vs_gold,code,L4,6,openai,gold,0.6805,89.0,Substantial,,
model_vs_gold,theme,L4,6,openai,gold,0.6618,113.0,Substantial,,
model_vs_gold,code,L4,7,openai,gold,0.7013,88.0,Substantial,,
model_vs_gold,theme,L4,7,openai,gold,0.681,112.0,Substantial,,
model_vs_gold,code,L4,8,openai,gold,0.7015,88.0,Substantial,,
model_vs_gold,theme,L4,8,openai,gold,0.6618,113.0,Substantial,,
model_vs_gold,code,L4,9,openai,gold,0.7042,89.0,Substantial,,
model_vs_gold,theme,L4,9,openai,gold,0.7196,113.0,Substantial,,
model_vs_gold,code,L4,10,openai,gold,0.6692,92.0,Substantial,,
model_vs_gold,theme,L4,10,openai,gold,0.6742,113.0,Substantial,,
model_vs_gold,code,L5,1,openai,gold,0.6812,89.0,Substantial,,
model_vs_gold,theme,L5,1,openai,gold,0.7075,113.0,Substantial,,
model_vs_gold,code,L5,2,openai,gold,0.6535,91.0,Substantial,,
model_vs_gold,theme,L5,2,openai,gold,0.6859,113.0,Substantial,,
model_vs_gold,code,L5,3,openai,gold,0.6817,89.0,Substantial,,
model_vs_gold,theme,L5,3,openai,gold,0.6802,112.0,Substantial,,
model_vs_gold,code,L5,4,openai,gold,0.6807,92.0,Substantial,,
model_vs_gold,theme,L5,4,openai,gold,0.693,112.0,Substantial,,
model_vs_gold,code,L5,5,openai,gold,0.6578,89.0,Substantial,,
model_vs_gold,theme,L5,5,openai,gold,0.6962,113.0,Substantial,,
model_vs_gold,code,L5,6,openai,gold,0.6649,91.0,Substantial,,
model_vs_gold,theme,L5,6,openai,gold,0.7077,113.0,Substantial,,
model_vs_gold,code,L5,7,openai,gold,0.7019,88.0,Substantial,,
model_vs_gold,theme,L5,7,openai,gold,0.7417,113.0,Substantial,,
model_vs_gold,code,L5,8,openai,gold,0.6691,92.0,Substantial,,
model_vs_gold,theme,L5,8,openai,gold,0.7042,112.0,Substantial,,
model_vs_gold,code,L5,9,openai,gold,0.7028,92.0,Substantial,,
model_vs_gold,theme,L5,9,openai,gold,0.6965,113.0,Substantial,,
model_vs_gold,code,L5,10,openai,gold,0.681,89.0,Substantial,,
model_vs_gold,theme,L5,10,openai,gold,0.6959,113.0,Substantial,,
inter_model,code,L1,1,claude,deepseek,0.796,113.0,Substantial,,
inter_model,theme,L1,1,claude,deepseek,0.911,113.0,Almost Perfect,,
inter_model,code,L1,1,claude,openai,0.6058,113.0,Substantial,,
inter_model,theme,L1,1,claude,openai,0.763,113.0,Substantial,,
inter_model,code,L1,1,deepseek,openai,0.6131,113.0,Substantial,,
inter_model,theme,L1,1,deepseek,openai,0.7754,113.0,Substantial,,
inter_model,code,L1,2,claude,deepseek,0.796,113.0,Substantial,,
inter_model,theme,L1,2,claude,deepseek,0.9222,113.0,Almost Perfect,,
inter_model,code,L1,2,claude,openai,0.6331,113.0,Substantial,,
inter_model,theme,L1,2,claude,openai,0.7747,113.0,Substantial,,
inter_model,code,L1,2,deepseek,openai,0.6317,113.0,Substantial,,
inter_model,theme,L1,2,deepseek,openai,0.7981,113.0,Substantial,,
inter_model,code,L1,3,claude,deepseek,0.7959,113.0,Substantial,,
inter_model,theme,L1,3,claude,deepseek,0.9109,113.0,Almost Perfect,,
inter_model,code,L1,3,claude,openai,0.6335,113.0,Substantial,,
inter_model,theme,L1,3,claude,openai,0.7739,113.0,Substantial,,
inter_model,code,L1,3,deepseek,openai,0.6138,113.0,Substantial,,
inter_model,theme,L1,3,deepseek,openai,0.7866,113.0,Substantial,,
inter_model,code,L1,4,claude,deepseek,0.796,113.0,Substantial,,
inter_model,theme,L1,4,claude,deepseek,0.911,113.0,Almost Perfect,,
inter_model,code,L1,4,claude,openai,0.6696,113.0,Substantial,,
inter_model,theme,L1,4,claude,openai,0.809,113.0,Almost Perfect,,
inter_model,code,L1,4,deepseek,openai,0.6498,113.0,Substantial,,
inter_model,theme,L1,4,deepseek,openai,0.821,113.0,Almost Perfect,,
inter_model,code,L1,5,claude,deepseek,0.796,113.0,Substantial,,
inter_model,theme,L1,5,claude,deepseek,0.9222,113.0,Almost Perfect,,
inter_model,code,L1,5,claude,openai,0.6064,113.0,Substantial,,
inter_model,theme,L1,5,claude,openai,0.7402,113.0,Substantial,,
inter_model,code,L1,5,deepseek,openai,0.5957,113.0,Moderate,,
inter_model,theme,L1,5,deepseek,openai,0.7639,113.0,Substantial,,
inter_model,code,L1,6,claude,deepseek,0.796,113.0,Substantial,,
inter_model,theme,L1,6,claude,deepseek,0.911,113.0,Almost Perfect,,
inter_model,code,L1,6,claude,openai,0.6153,113.0,Substantial,,
inter_model,theme,L1,6,claude,openai,0.7627,113.0,Substantial,,
inter_model,code,L1,6,deepseek,openai,0.6137,113.0,Substantial,,
inter_model,theme,L1,6,deepseek,openai,0.7751,113.0,Substantial,,
inter_model,code,L1,7,claude,deepseek,0.796,113.0,Substantial,,
inter_model,theme,L1,7,claude,deepseek,0.9222,113.0,Almost Perfect,,
inter_model,code,L1,7,claude,openai,0.6152,113.0,Substantial,,
inter_model,theme,L1,7,claude,openai,0.7633,113.0,Substantial,,
inter_model,code,L1,7,deepseek,openai,0.6136,113.0,Substantial,,
inter_model,theme,L1,7,deepseek,openai,0.7868,113.0,Substantial,,
inter_model,code,L1,8,claude,deepseek,0.796,113.0,Substantial,,
inter_model,theme,L1,8,claude,deepseek,0.911,113.0,Almost Perfect,,
inter_model,code,L1,8,claude,openai,0.6243,113.0,Substantial,,
inter_model,theme,L1,8,claude,openai,0.7862,113.0,Substantial,,
inter_model,code,L1,8,deepseek,openai,0.6137,113.0,Substantial,,
inter_model,theme,L1,8,deepseek,openai,0.7984,113.0,Substantial,,
inter_model,code,L1,9,claude,deepseek,0.796,113.0,Substantial,,
inter_model,theme,L1,9,claude,deepseek,0.911,113.0,Almost Perfect,,
inter_model,code,L1,9,claude,openai,0.5884,113.0,Moderate,,
inter_model,theme,L1,9,claude,openai,0.7627,113.0,Substantial,,
inter_model,code,L1,9,deepseek,openai,0.5866,113.0,Moderate,,
inter_model,theme,L1,9,deepseek,openai,0.7751,113.0,Substantial,,
inter_model,code,L1,10,claude,deepseek,0.796,113.0,Substantial,,
inter_model,theme,L1,10,claude,deepseek,0.8998,113.0,Almost Perfect,,
inter_model,code,L1,10,claude,openai,0.6422,113.0,Substantial,,
inter_model,theme,L1,10,claude,openai,0.82,113.0,Almost Perfect,,
inter_model,code,L1,10,deepseek,openai,0.6406,113.0,Substantial,,
